id,name,description,category,price,stock,image,videos
"9","Cicatricure - Gel Cicatrices","Gel Cicatrices Y Estrías X 60g","belleza y salud","12000","1","https://media01.farmaciaslider.com.ar/27902-home_default/cicatricure-gel-para-cicatrices-60-g.jpg",""
"11","Cicatricure - Reparación intensiva","Crema corporal con 10% urea 250g","belleza y salud","10000","1","https://media02.farmaciaslider.com.ar/27834-home_default/cicatricure-urea-corporal-250-g.jpg",""
"15","Cicatricure - gold lift contorno duo","Crema Cicatricure Gold Lift Contorno Duo 15g","belleza y salud","15000","0","https://media02.farmaciaslider.com.ar/27935-home_default/cicatricure-contorno-de-ojos-y-boca-gold-lift-15g.jpg",""
"16","Elvive - Oleo Extraordinario","Oleo Extraordinario Elvive x 100 ml","belleza y salud","10000","2","https://www.maxidescuento.com.ar/31273-home_default/elvive-oleo-extraordinario-x100m-7509552874204.jpg",""
"17","Dove - Nutrición + Geranio","Máscara de Tratamiento Nutrición + Geranio 190 ml","belleza y salud","4000","3","https://www.maxidescuento.com.ar/24736-home_default/dove-poder-plantas-mascara-x190g-nutricionger-7891150079168.jpg",""
"18","Dove - Fuerza + Bambú","Máscara de Tratamiento Fuerza + Bambú 190 ml","belleza y salud","4000","3","https://www.maxidescuento.com.ar/24732-home_default/dove-poder-plantas-mascara-x190g-fuerzabamb-7891150079175.jpg",""
"21","Diabet Tx - Urea 250g","Goicoechea Diabet Tx Plus con Urea 250g","belleza y salud","13000","2","https://media01.farmaciaslider.com.ar/27984-home_default/goicoechea-crema-diabet-tx-plus-250g.jpg",""
"27","Monitor TV LED 24""","Monitor TV Led Samsung 24"" Con Control Remoto Original","tecnologia","160000","1","https://santafecomputacion.com.ar/productos/get-imagen/1550",""
"29","Panel luz‑led con trípode","Panel fotográfico luz led de estudio con trípode","iluminacion","20000","1","https://http2.mlstatic.com/D_NQ_NP_758794-MLA82767947144_032025-O.webp",""
"32","Proyector De Estrella","Proyector De Estrella USB Luz Nocturna Ajustable ROJO o AZUL","iluminacion","15000","7","https://http2.mlstatic.com/D_NQ_NP_623534-MLA54225599890_032023-O.webp",""
"41","Cortadora de pelo Dragon","Cortadora de pelo, definidora carga USB","belleza y salud","15000","3","https://acdn-us.mitiendanube.com/stores/001/738/520/products/51dm6jdzcnl-_ac_uf10001000_ql80_1-0f2572d3e53ac9bcf116880478438025-1024-1024.jpg",""
"43","Anafe portátil","Mini anafe portátil plegable a gas butano","hogar","20000","4","https://www.bomberomania.com.ar/wp-content/uploads/productos/Mini-Anafe-Calentador-Portatil-Plegable-Camping-Moonhill-CS101A-6-500x500.webp",""
"4","Cicatricure - Neuro‑Zen","Crema Facial Neuro‑Zen 50g","belleza y salud","15000","2","https://media03.farmaciaslider.com.ar/42077-home_default/cicatricure-neuro-zen-crema-x-50-gr.jpg",""
"5","Cicatricure - Protector Solar","Protector Solar Facial Fps 50 Antiage 50g","belleza y salud","12000","0","https://media01.farmaciaslider.com.ar/36649-home_default/cicatricure-protector-solar-fps50-x-50-g-.jpg",""
"12","Cicatricure - Age Care Humectante","Crema facial Age Care Humectante 50g","belleza y salud","10000","3","https://media02.farmaciaslider.com.ar/27877-home_default/cicatricure-crema-age-care-humectante-50-g.jpg",""
"13","Cicatricure - Age Care Reafirmante","Crema facial Age Care Reafirmante 50g","belleza y salud","10000","2","https://media03.farmaciaslider.com.ar/27872-home_default/cicatricure-crema-age-care-reafirmante-50-g.jpg",""
"14","Cicatricure - Acqua Defense","Crema gel facial Acqua Defense","belleza y salud","10000","0","https://media01.farmaciaslider.com.ar/31504-home_default/cicatricure-aqua-defense-gel-facial-x-50-g.jpg",""
"23","Tope Retén Magnético","Tope Reten Magnetico (para Puerta de Alacena/Placard/Mueble)","hogar","2000","19","https://http2.mlstatic.com/D_NQ_NP_709892-MLA82445236863_022025-O.webp",""
"30","Lámpara Giratoria RGB","Lámpara Led Giratoria colores RGB","iluminacion","10000","0","https://acdn-us.mitiendanube.com/stores/001/155/056/products/1-18b160c7c0c32147ed17292664690658-1024-1024.webp",""
"33","Tapa de válvula luminosa","Tapa de válvula luminosa VERDE ROJO AMARILLO AZUL LILA para auto, moto o bici (2 cantidad)","iluminacion","10000","999","","ANi7AntZ3yk|JcOQ06g5xuQ|f9D91A4Mnas|TK2L3oZ7bJQ|PXDrcUiD2JI"
"39","Aire Acondicionado Split Surrey","Aire Acondicionado Split Frío Calor 4500w Surrey, en sus cajas (sin usar)","hogar","850000","1","https://www.surair.com.ar/wp-content/uploads/2024/04/01-plantilla-surrey-pria-evolution-4500-1.webp",""
"42","Piedra mágica","Piedra depiladora mágica","belleza y salud","10000","1","https://acdn-us.mitiendanube.com/stores/001/131/056/products/depila1-cafe071c04ad00005417207881726815-480-0.png",""
"1753049727149","Elvive - Serum Dream Liso","Serum Elvive Dream Liso 100ml","belleza y salud","14000","5","https://www.lorealparis.com.ar/-/media/project/loreal/brand-sites/oap/americas/ar/articles/dream-liso/menos-mb.png",""
"2","DiabeTX - Hidratante","Crema Corporal Hidratante x 400 ml","belleza y salud","9000","1","https://media02.farmaciaslider.com.ar/27994-home_default/goicoechea-crema-diabetex-nf-mph-400-ml.jpg",""
"7","Cicatricure - Colágeno","Crema Facial Antiedad Con Colágeno 50g","belleza y salud","14000","4","https://media01.farmaciaslider.com.ar/27940-home_default/cicatricure-crema-antiarrugas-nueva-formula-con-biopeptide-60g.jpg",""
"8","Cicatricure - Antiestrías","Crema Corporal Hidratación Intensiva, Antiestrías 400 Ml","belleza y salud","8000","2","https://www.maxidescuento.com.ar/22725-home_default/cicatricure-crema-corporal-hidratintensiva-x400m-anti-estrias-7798140254423.jpg",""
"10","Cicatricure - Reparación","Crema Corporal Hidratación Intensiva, Reparación 400 Ml","belleza y salud","8000","1","https://www.maxidescuento.com.ar/19734-home_default/cicatricure-crema-corporal-hidratintensiva-x400m-reparacion-7798140254409.jpg",""
"19","Goicoechea - Crema Corporal 200ml","Crema Corporal ANTICELULITIS, REAFIRMANTE CON TONIFYER, ULTRA NUTRITIVA 200 Ml","belleza y salud","5000","0","https://cristianargentina.github.io/assets/img/goicoechea200varices.jpg",""
